 ,VENDOR EKSISTING,NAMA BARANG,CATEGORY,PRODUK,MERK,UKURAN,SATUAN ISI,KEBUTUHAN PER PEKAN,HARGA EKSISTING,NAMA VENDOR BARU,NEXT VENDOR,HARGA EXISTING,HARGA 20/8/2026,,,Pekan I Mei,,
,Diisi oleh OUTLET,Diisi oleh OUTLET,Diisi oleh OUTLET,,Diisi oleh OUTLET,,,Diisi oleh OUTLET,,Diisi oleh tim Pengadaan PUSAT,,,,QTY,TOTAL BIAYA,ER Edelweiss,ER Summarecon,ER Cianjur
111,,Kresek Diamond uk.24,Kering,ER Coffeelab,pusat,10 pack,pack,10 pack/10 hari,Rp17.000,SINGA,62 815-7251-703,17.550,15.000,4,60.000,,,
112,,kresek idola 20 x 35,,,,,,,,,,18.009,18.009,,0,,3,
113,,Kresek Ink uk.10,,,,,,,,Akapack,,4.850,4.850,10,48.500,,,
114,,Kresek Ink uk.15,,,,,,,,Akapack,,10.350,10.350,5,51.750,,,
115,,Kresek Ink uk.24,,,,,,,,,,10.350,10.350,,0,,,
116,,Kresek Tulip Putih uk 15,,,,,,,,,,28.000,28.000,,0,,,
117,,Kresek Tulip Putih uk 24,Kemasan,Sanusa Kitchen,Cheffy,,pack,,Rp204.000,SINGA,,25.000,24.000,,0,,,
118,,Kresek Tulip Putih uk 26,Kemasan,,,,,,,SINGA,,,21.000,,,,,
119,,Lada Hitam,Kering,ER Coffeelab,No Merk(pasar),kg,kg,,,,,160.000,164.000,,,,,
120,,Lada Putih Butir,Kering,Sanusa Kitchen,,1 kg,500 gr,,Rp40.000,,,113.200,100.000,,0,,,
121,,Leakproof 80mm (Tutup Hot Small),,,TUTUP HOT SMALL,,,,,,,461,461,,,,,
122,,Leakproof 90mm (Tutup Hot Medium),,,TUTUP HOT MEDIUM,,,,,,,566,566,35.566,,,,
123,,Leakproof 90mm Frost (Tutup Cup Ice),,,TUTUP ICE MEDIUM,,,,,,,,,,,,,
124,,Lee Kum Kee Oyster Sauce 770gr,Kemasan,ER Coffeelab,Lee Kumkee,botol,botol,,Rp7.000,,,50.000,50.000,,0,,,
125,Fresh Ice,Lemon Fresh,Basah,ER Coffeelab,No Merk(pasar),1kg,kg,1-2 ball/outlet,Rp18.000,TUNAS RAHAYU,,30.000,35.000,,0,,,
126,,Lorosa,Basah,ER Coffeelab,no merk(pasar),500gr,kg,,Rp35.000,toko mandiri,,,37.500,6,225.000,2-4,,
127,,Lychee Herring,Kemasan,ER Coffeelab,Heering,Can,kaleng,2 liter/ botol,Rp141.000,Mandiri (dian),,22.500,22.500,1,22.500,,1,
128,,Maestro Mayonaise,Kering,ER Coffeelab,Maestro,1 kg,kg,,,Mandiri (dian),,32.600,31.000,,,,,
129,,Maestro Mustard Sauce,,,,,,,,Toko Sejati,,24.500,24.500,3,73.500,,,
130,,Maizenaku,Kering,ER Coffeelab,,1 kg,,,,house of culinaire,,20.000,20.000,1,20.000,,,
131,,"Mama Lemon 1,5L",Kering,ER Coffeelab,Mama Lemon,pouch,pouch,,,INDOGROSIR,,22.700,20.000,,,,,
132,,Mama lemon 945 ml,,,,,,,,SUPERINDO,,12.500,12.500,,0,,,
133,,Mama Lime,Basah,Sanusa Kitchen,,650 ml,2Pack,,,,,,,,,,,
134,,Mascarpone,Basah,ER Coffeelab,Mandiri (dian),,,,,,,162.500,165.000,,,,,
135,,Mauri-pan Ragi kering,Kering,,,,,,Rp18.000,,,55.500,55.500,,0,,,
136,,Mentega Blue Band 1kg,Kering,ER Coffeelab,Blue Band,1 kg,kg,,,,,35.000,35.000,,,,,
137,,Merica Lada Putih Bubuk,Basah,Sanusa Kitchen,,1 kg,1 kg,,,,,110.000,110.000,,,,,
138,Fahri,Mie Burung Dara,Kering,ER Coffeelab,Urai,140 gr,pcs,45 kg,Rp32.500,MANDIRI (DIAN),,4.167,3.200,45 PCS/ CTN,#VALUE!,,,
139,,Mika Dessert Box,Kemasan,ER Coffeelab,,,,,,MAJU JAYA,,,2.500,,,,,
140,,Milac Gold,Basah,ER Coffeelab,Milac,1 ctn,liter,,Rp7.000,MANDIRI,,69.408,75.500,2,151.000,2,,
141,,Minuman Nipis Madu,,ER Coffeelab,,1,dus,,Rp85.000,Mandiri Pasbar (dian),,46.200,46.200,3,138.600,,1,
142,Livi,Minyak Sovia 18L,Kering,ER Coffeelab,Sovia,18Liter,dus,1 dus,Rp248.235,Mandiri (dian),,356.000,360.000,,0,,,
143,,Minyak Sovia 2L,Basah,Sanusa Kitchen,Sovia,2 L,L,200 gr,Rp39.000,,,39.990,39.990,,0,,,
144,,Mix Vagetable,Frozen,ER Coffeelab,Zenland 4mix,1kg,kg,2 pack/ 2 minggu,Rp17.000,,,29.000,29.000,,0,,,
145,,Monin Caramel Syrup,Kemasan,ER Coffeelab,Monin,1 liter,botol,1 dus,,House of Culinaire,,173.300,181.500,,0,,,
146,,Monin Hazelnut,,,,,,,,,,,,,0,,,
147,,Monin Lychee Syrup,Kemasan,ER Coffeelab,Monin,1 liter,botol,2 botol/ minggu,Rp99.000,Klinik Cafe24,,173.300,181.500,11,1.996.500,1,3,
148,Dilco,Monin Peach,Kemasan,ER Coffeelab,Monin,1 liter,botol,20 liter (all outlet),Rp55.000,,,173.300,181.500,,0,,,
149,,Monin Rantcho,Kemasan,ER Coffeelab,Monin,700 ml,botol,1 botol/minggu,Rp99.000,Klinik Cafe24,,110.400,110.400,,0,,,
150,,Monin Strawberry Syrup,Kemasan,ER Coffeelab,Monin,1 liter,botol,5 kaleng/ minggu,Rp31.000,House of Culinaire,,173.300,181.500,,0,2,,
151,,Monin Vanilla Syrup,Kemasan,ER Coffeelab,Monin,1 liter,botol,,Rp166.500,House of Culinaire,,173.300,181.500,4,726.000,1,1,
152,,Monin Wild Mint,Kemasan,ER Coffeelab,Monin,1 liter,botol,,Rp166.500,House of Culinaire,,173.300,181.500,2,363.000,,2,
153,,"Mountoya ""Air Mineral""",Basah,Sanusa Kitchen,Montoya,600 ml,dus,,Rp65.000,CV HANA CENTRAL,,53.500,53.500,2,107.000,,,
154,,Orchid Butter - Creamery butter,Basah,ER Coffeelab,,1 pack,200 gr,,,,,46.000,46.000,,,,,
155,,Palm Suiker - bubuk,,,,,,1 kaleng/ 400gr,Rp24.000,,,33.000,33.000,,0,,,
156,,Paper Bag,Kemasan,ER Coffeelab,Grade,pack,pack,,Rp88.800,House of Culinaire,,24.279,24.279,2,48.558,1,,
